t,symbol,high,low,open,close,volume
1654574400000,TSLA,239.9967,230.0933,234.0,238.8867,72790647.0
1654660800000,TSLA,249.9633,239.1767,240.0867,241.8667,76090620.0
1654747200000,TSLA,255.5466,239.3267,249.34,239.7067,96292407.0
1654833600000,TSLA,239.5,227.9133,235.1567,232.23,98060898.0
1655092800000,TSLA,226.6333,214.6833,223.1667,215.7367,102767262.0
1655179200000,TSLA,226.33,211.7367,218.2867,220.89,97979796.0
1655265600000,TSLA,235.6633,218.15,220.9167,233.0,119115135.0
1655352000000,TSLA,225.1667,208.6933,222.7367,213.1,107390670.0
1655438400000,TSLA,220.9694,213.1967,213.4333,216.76,92138970.0
1655784000000,TSLA,243.5774,224.3333,224.6033,237.0367,122792955.0
1655870400000,TSLA,246.8333,233.8267,234.5033,236.0867,101527260.0
1655956800000,TSLA,239.3167,228.6367,237.905,235.07,104202678.0
1656043200000,TSLA,246.0667,236.0867,237.4683,245.7067,94900695.0
1656302400000,TSLA,252.07,242.5655,249.3667,244.92,89178312.0
1656388800000,TSLA,249.97,232.3433,244.4833,232.6633,90661461.0
1656475200000,TSLA,231.1733,222.2733,230.5,228.49,82897254.0
1656561600000,TSLA,229.4567,218.8633,224.51,224.4733,94150452.0
1656648000000,TSLA,230.23,222.12,227.0,227.2633,74460444.0
1656993600000,TSLA,233.1467,216.1667,223.0,233.0667,84779112.0
1657080000000,TSLA,234.5633,227.1867,230.78,231.7333,71853630.0
1657166400000,TSLA,245.3617,232.21,233.92,244.5433,81930690.0
1657252800000,TSLA,254.98,241.1614,242.3333,250.7633,101854086.0
1657512000000,TSLA,253.0633,233.6267,252.1033,234.3433,99509220.0
1657598400000,TSLA,239.7733,228.3683,236.8467,233.07,87930960.0
1657684800000,TSLA,242.06,225.0333,225.5,237.04,97954497.0
1657771200000,TSLA,238.6533,229.3333,234.8967,238.3133,78549072.0
1657857600000,TSLA,243.6233,236.89,240.0,240.0667,69678159.0
1658116800000,TSLA,250.5167,239.6033,244.9367,240.5467,82526109.0
1658203200000,TSLA,247.14,236.9767,245.0,245.53,80890110.0
1658289600000,TSLA,250.6633,243.483,246.7833,247.5,88564089.0
1658376000000,TSLA,273.2667,254.8667,255.1067,271.7067,141966552.0
1658462400000,TSLA,280.7867,270.7133,276.22,272.2433,103462317.0
1658721600000,TSLA,274.1467,267.4,272.2167,268.4333,64073505.0
1658808000000,TSLA,267.31,256.2633,266.5133,258.86,66820758.0
1658894400000,TSLA,275.9256,261.79,263.81,274.82,88109988.0
1658980800000,TSLA,283.3,272.8,280.0667,280.9,84722991.0
1659067200000,TSLA,298.32,279.1,280.7,297.15,95312883.0
1659326400000,TSLA,311.8782,295.0,301.275,297.2767,117042888.0
1659412800000,TSLA,307.8333,292.6667,294.0033,300.5867,95577468.0
1659499200000,TSLA,309.55,301.15,305.0,307.3967,79630905.0
1659585600000,TSLA,313.6067,305.0,311.0,308.6333,72189717.0
1659672000000,TSLA,304.6066,285.5447,302.67,288.17,113154780.0
1659931200000,TSLA,305.2,289.0854,295.0,290.4233,99365274.0
1660017600000,TSLA,292.3967,279.3533,290.2933,283.3333,86244681.0
